topic_id,top_words,top_probabilities
21,frag@223.06 loss@275.09 frag@199.06 loss@245.1 loss@173.01 frag@178.05 loss@178.04 frag@247.01 frag@220.1 frag@202.05 frag@143.05 frag@203.08 loss@119.07 loss@122.0 frag@174.09 loss@288.09 frag@183.1 loss@159.04 loss@157.13 frag@213.1,0.0557397902 0.05536554754 0.0491200611 0.04214689136 0.04163418338 0.03837375343 0.02822363563 0.02326518297 0.02097740956 0.01660965011 0.01599967293 0.0158607699 0.01507523283 0.01506743021 0.01505813748 0.01090413984 0.009752899408 0.008476058953 0.007930207066 0.00691512879
22,loss@242.1 loss@186.04 loss@257.13 loss@196.0 loss@116.1 frag@173.95 frag@178.06 loss@219.09 loss@168.12 loss@281.11 loss@269.07 loss@280.07 loss@258.09 loss@249.08 loss@217.02 frag@80.06 loss@263.04 loss@306.11 loss@265.15 loss@116.04,0.1487576216 0.06551508605 0.05997274071 0.0322085768 0.02074160427 0.02060199343 0.02015049942 0.01708347723 0.01346243266 0.01044350863 0.01040191017 0.008341821842 0.008297904395 0.008235017769 0.00771095138 0.007607711013 0.007539737038 0.007182929199 0.007173954044 0.005814290605
23,loss@257.14 loss@146.08 frag@176.07 loss@161.11 loss@207.16 loss@174.07 frag@184.1 frag@174.06 frag@190.09 loss@269.13 loss@187.14 loss@173.11 loss@322.13 loss@296.06 loss@158.08 loss@280.12 loss@350.15 loss@176.1 loss@241.1 loss@106.08,0.07230751216 0.0685826838 0.06742475927 0.0475080125 0.03946967795 0.03899117187 0.03717680275 0.03695445508 0.01859475672 0.01789367758 0.01684640162 0.008771318942 0.007839752361 0.007515762933 0.007119785994 0.006543765776 0.006415679585 0.006402397994 0.005590745714 0.005570632871
24,frag@163.11 loss@156.06 frag@187.0 frag@233.09 loss@401.17 loss@120.1 loss@129.05 loss@314.21 frag@185.13 frag@271.1 frag@254.05 frag@219.03 frag@149.01 frag@156.06 loss@365.13 frag@235.09 loss@455.17 frag@312.08 frag@218.08 frag@221.04,0.2559681833 0.1406222284 0.03355414048 0.02012805827 0.01292337663 0.01281116996 0.01243955456 0.007788090501 0.007094769273 0.006977824494 0.006021011621 0.005838057492 0.005183624569 0.004999196623 0.00491255708 0.004212516826 0.004149300978 0.004120628815 0.003900406184 0.003683021525
25,frag@123.02 frag@123.03 frag@151.05 frag@113.04 frag@130.03 frag@169.01 frag@130.04 loss@197.1 loss@181.09 loss@186.07 loss@322.14 loss@274.13 loss@159.06 loss@166.12 loss@314.08 loss@345.15 frag@299.07 loss@179.08 loss@200.11 loss@325.15,0.1961107254 0.0980226025 0.08714220673 0.0700000897 0.06364379078 0.05164078251 0.04979775846 0.04848677292 0.04294199124 0.02788432129 0.0162134096 0.01589720696 0.01403485611 0.01243467815 0.01068434678 0.01061045565 0.01033254992 0.01031114906 0.009984353557 0.009610782377
26,loss@114.06 frag@230.09 frag@95.03 loss@141.06 loss@291.09 frag@98.04 loss@159.11 loss@56.04 loss@109.98 loss@110.04 loss@140.02 loss@89.06 frag@227.06 frag@218.09 loss@177.07 loss@95.05 loss@30.01 frag@133.05 loss@102.01 frag@300.15,0.09316281974 0.08712156862 0.05161717907 0.04990447313 0.04419466481 0.02666014805 0.0209028963 0.01570556499 0.01369610429 0.01351648103 0.01290161069 0.0106425574 0.01004672144 0.009466769174 0.008558331057 0.008312853053 0.008027770557 0.007304281462 0.007127081044 0.007120606489
27,frag@137.07 loss@201.04 loss@216.11 loss@206.05 frag@191.12 frag@127.05 loss@175.04 loss@192.07 loss@194.07 loss@172.03 frag@109.04 frag@121.08 loss@222.12 loss@187.07 loss@223.05 loss@313.15 loss@227.01 loss@192.02 loss@155.04 loss@221.04,0.08647872508 0.05603516847 0.05397706479 0.04719997942 0.03920157254 0.03013616428 0.02637396753 0.02476797067 0.02183630131 0.02074642479 0.01691701449 0.0167024266 0.01668477245 0.01586763933 0.01429462992 0.009531643242 0.009172290564 0.00877991505 0.008706646971 0.008035548031
28,loss@190.08 frag@138.06 loss@156.01 loss@214.05 loss@157.02 frag@216.09 frag@68.05 loss@186.05 loss@273.06 loss@259.03 frag@122.06 loss@287.11 frag@151.1 frag@140.08 loss@274.15 loss@78.03 frag@67.02 frag@227.13 loss@270.04 loss@189.02,0.4124373794 0.1107190698 0.06357873231 0.03577446565 0.0264021717 0.02487427182 0.01679975912 0.01385114063 0.01125781611 0.01024731901 0.00901478529 0.007117571309 0.007009890396 0.006032251287 0.006016566418 0.005540797021 0.005225001369 0.005016441457 0.004674115684 0.003302779049
29,loss@107.07 frag@219.06 frag@223.09 frag@211.01 loss@122.1 frag@286.11 frag@172.93 frag@217.04 frag@288.12 frag@309.14 frag@236.08 loss@496.18 frag@168.0 loss@161.12 frag@291.12 frag@302.09 frag@278.1 loss@164.02 loss@125.09 frag@277.08,0.2811749578 0.144460246 0.09785917401 0.07380481809 0.03668879345 0.03626215458 0.02998358198 0.01777882129 0.01617206261 0.01440355089 0.01182558574 0.009652367793 0.008901808411 0.006357996725 0.00621509226 0.005791451316 0.004074115306 0.003728762269 0.003625470214 0.003583389334
30,frag@134.04 loss@166.04 frag@52.02 frag@79.03 loss@128.06 frag@220.03 frag@68.01 loss@224.99 frag@150.06 frag@53.0 frag@81.04 loss@45.99 loss@122.08 frag@107.03 loss@126.03 frag@180.02 loss@120.07 frag@67.04 loss@61.05 frag@171.97,0.3893954456 0.2106042951 0.1083833203 0.08323267847 0.02873472124 0.02847534791 0.009320226498 0.006810803432 0.006150055677 0.005825916305 0.004592423793 0.004350416828 0.004108311608 0.00378532731 0.00321205426 0.003026962513 0.003020756645 0.002725210972 0.002718114993 0.002491540974
