topic_id,top_words,top_probabilities
21,loss@244.05 frag@188.07 frag@160.08 frag@132.08 frag@144.08 frag@170.06 loss@186.03 loss@177.05 frag@142.07 frag@118.07 frag@142.06 frag@115.05 loss@188.1 frag@131.07 frag@158.06 loss@318.09 loss@166.07 loss@253.06 frag@143.07 frag@118.06,0.1496538371 0.05377646908 0.04444145411 0.0414308235 0.03153736889 0.03066224791 0.02613377944 0.02023390867 0.02015619911 0.01870008744 0.01626265235 0.01550994162 0.01254587062 0.0110921748 0.01090473123 0.01018573251 0.009715327993 0.009669581428 0.008747861721 0.008386461996
22,frag@65.04 loss@194.08 frag@178.06 loss@231.08 loss@242.1 loss@206.03 loss@195.09 frag@119.06 loss@95.01 loss@231.09 loss@199.03 loss@235.1 loss@143.04 frag@92.06 frag@92.05 frag@66.05 loss@213.05 frag@134.01 frag@220.06 loss@228.06,0.3219383955 0.2279420197 0.1133272275 0.05345543474 0.04581416771 0.03459053114 0.01167016756 0.009974969551 0.007740695029 0.007532089483 0.006556998938 0.005715048872 0.004882697947 0.004647382069 0.004076072481 0.003962807357 0.002873375546 0.002420746023 0.002333765849 0.002252503065
23,loss@228.11 frag@184.1 loss@269.12 loss@207.16 loss@233.13 loss@276.08 frag@122.04 loss@325.09 frag@318.16 frag@198.08 frag@180.12 frag@186.05 frag@273.04 frag@155.07 frag@209.03 frag@258.09 frag@176.07 loss@252.04 frag@192.01 frag@224.14,0.05054051057 0.04729481414 0.03988444805 0.02996248752 0.02297101915 0.02079403214 0.01764711365 0.0129435109 0.01111179683 0.01060450822 0.008680210449 0.008109787479 0.007675252855 0.007387155667 0.007376096211 0.006759964395 0.006448564585 0.006183916703 0.005922059529 0.005586211104
24,loss@156.06 frag@183.08 loss@224.16 frag@195.08 loss@142.07 frag@207.12 frag@197.1 frag@218.08 frag@209.1 loss@80.99 frag@211.08 loss@296.07 loss@314.21 loss@120.1 loss@35.98 loss@200.94 frag@327.14 loss@97.08 frag@234.03 loss@129.05,0.1127629206 0.1089229062 0.05763356015 0.05393823609 0.04767866433 0.04527385533 0.04319023713 0.04277573153 0.03385536373 0.03004194982 0.02319845557 0.02195209265 0.01873514242 0.01826888323 0.01377959829 0.008160008118 0.008066485636 0.006462569814 0.006156054325 0.006034955382
25,frag@123.02 frag@123.03 frag@113.04 loss@179.08 loss@200.13 loss@191.07 loss@226.11 loss@178.05 loss@166.12 loss@186.07 loss@314.08 loss@249.16 loss@345.15 loss@189.06 loss@205.16 loss@191.17 loss@196.1 loss@328.15 loss@302.12 loss@184.15,0.2338915616 0.1692277491 0.09428954124 0.05033525452 0.04787392914 0.04629597813 0.04383252934 0.0406453833 0.03850628808 0.01650033705 0.01544429362 0.01358079631 0.0127538275 0.01266640984 0.009646927938 0.006459640805 0.005899821874 0.005216708872 0.005194562022 0.004817361478
26,loss@168.07 frag@171.09 frag@181.08 frag@157.08 frag@169.08 frag@185.11 loss@168.06 loss@161.07 loss@182.08 loss@145.09 frag@144.07 loss@158.08 loss@141.0 loss@134.06 loss@168.05 frag@201.07 loss@169.03 loss@78.05 loss@120.02 loss@134.03,0.3415845633 0.1766825467 0.1698857546 0.04794215411 0.03481235728 0.02734220773 0.02153056115 0.02097079903 0.0149611067 0.01161928568 0.007962532341 0.005132336169 0.004831661936 0.004489076324 0.004297922365 0.003675559303 0.0030787047 0.002904306399 0.002653675154 0.002625508932
27,loss@171.05 frag@155.04 frag@122.08 loss@279.02 frag@106.05 loss@223.05 loss@184.04 frag@164.09 loss@223.04 loss@192.05 loss@0.02 frag@115.01 loss@224.04 loss@192.07 frag@209.11 loss@215.04 frag@96.06 frag@70.05 loss@241.04 frag@137.09,0.3894966245 0.2396874726 0.203977257 0.01921201684 0.01165825874 0.008881737478 0.008669572882 0.004820952192 0.004494684283 0.003174183192 0.002784360899 0.002281658584 0.002137569478 0.002085938584 0.00208429643 0.002075914992 0.001887667226 0.00187013566 0.001862436184 0.001844676328
28,frag@45.03 loss@78.03 loss@183.04 loss@280.09 loss@156.01 loss@93.06 frag@42.03 loss@119.08 loss@180.99 loss@61.05 loss@139.01 loss@229.01 loss@270.0 frag@68.05 frag@54.03 frag@70.04 loss@230.0 loss@157.02 loss@97.09 loss@113.01,0.4725706279 0.3184203804 0.07998750359 0.02758642472 0.009241616353 0.004507381469 0.00441223802 0.004173618741 0.003224618267 0.002291101962 0.002260603709 0.002256332664 0.001916663954 0.001877238974 0.0018691679 0.001833864721 0.001800377853 0.00120808254 0.001088685123 0.001067558653
29,loss@259.17 frag@220.1 loss@229.02 frag@146.02 frag@254.13 loss@228.01 loss@294.07 loss@188.98 frag@198.06 loss@227.17 loss@330.07 frag@199.05 frag@227.08 frag@112.11 loss@234.04 frag@247.04 loss@46.07 loss@270.1 loss@156.13 frag@213.04,0.1248791292 0.09230972826 0.0778164193 0.05325106159 0.04884667695 0.04012290761 0.02149862237 0.01650868729 0.009324961342 0.008857438341 0.008850016631 0.008418696932 0.008105228655 0.007884077728 0.0076394137 0.007256865967 0.00699749589 0.006373291835 0.006194089074 0.006076785736
30,loss@137.06 frag@134.04 loss@178.03 loss@175.04 frag@150.06 frag@134.05 loss@136.03 loss@153.05 frag@180.02 frag@52.02 frag@54.03 frag@140.03 frag@136.04 frag@153.04 frag@94.03 frag@81.04 frag@82.04 frag@146.04 loss@173.04 loss@120.07,0.1577889025 0.1189449281 0.1017243415 0.07982172817 0.07812361419 0.03800178692 0.03294245526 0.0182097517 0.01707912609 0.01417902485 0.01181784831 0.01122724358 0.01102853194 0.00974043645 0.008095654659 0.006847909186 0.006347235758 0.006299354602 0.005874949042 0.00563312415
31,frag@151.06 frag@97.01 loss@209.09 loss@221.09 frag@125.04 loss@235.1 frag@111.03 loss@225.08 loss@207.07 loss@233.09 loss@181.06 loss@231.07 loss@228.06 loss@233.14 loss@201.11 loss@248.07 loss@249.09 loss@225.05 loss@222.09 frag@59.0,0.1933694184 0.1616574377 0.1442153305 0.1415946484 0.1173010319 0.02580637299 0.0112651363 0.006918468047 0.006653596647 0.006510073785 0.006414899137 0.006188434549 0.005692072678 0.005477365572 0.004725847393 0.004352500662 0.004039950203 0.003350411775 0.00294231507 0.002655203221
32,loss@213.08 frag@74.93 frag@174.97 loss@308.09 frag@180.05 frag@302.1 frag@231.06 frag@257.13 loss@275.08 frag@208.03 loss@233.13 frag@347.15 frag@188.97 frag@182.13 loss@306.12 frag@286.14 frag@318.16 frag@314.11 loss@200.12 frag@147.02,0.1624485999 0.1158563048 0.05448916927 0.05030441284 0.03451747075 0.01569858193 0.01475742832 0.01358945016 0.0125680808 0.01071211044 0.01034015417 0.009740632027 0.009379014373 0.00845385436 0.008158584125 0.007431576028 0.007214625832 0.007133075502 0.006191417109 0.005828379188
33,frag@153.05 loss@215.01 frag@93.03 frag@122.04 loss@264.1 frag@181.05 frag@109.03 frag@143.03 loss@252.06 frag@185.04 loss@298.09 loss@173.02 loss@303.1 frag@183.06 loss@297.08 loss@199.08 frag@127.04 loss@265.09 loss@120.03 frag@155.07,0.1067139581 0.07416927814 0.05355246365 0.04831891507 0.04372613132 0.03829802573 0.0370156467 0.03432606906 0.01495329477 0.01397161745 0.01370241586 0.01298804209 0.01173586678 0.01147656236 0.01056518685 0.009079054929 0.008043411188 0.007737621665 0.007667294703 0.007661980577
34,frag@148.02 loss@141.05 frag@229.1 loss@227.98 loss@108.0 loss@72.99 loss@82.0 loss@127.0 frag@220.1 loss@308.04 loss@335.04 frag@165.98 loss@142.02 frag@291.09 loss@376.14 loss@91.01 frag@133.01 loss@199.95 loss@154.03 loss@88.1,0.2491811663 0.1473715156 0.1320756078 0.03816736117 0.03799173981 0.02246348932 0.01696571335 0.01628136821 0.01253404282 0.011956295 0.009424164891 0.007426514756 0.007358554285 0.006383205298 0.004429212306 0.004136451986 0.00374964904 0.003707980271 0.003706233809 0.003401790513
35,frag@115.03 frag@206.06 loss@267.09 loss@211.03 loss@224.08 loss@206.07 loss@287.15 loss@247.1 loss@279.09 loss@215.97 loss@268.1 loss@235.14 loss@284.08 loss@227.16 frag@321.1 loss@256.1 loss@194.06 frag@241.11 loss@269.11 loss@296.12,0.3075152934 0.1763590723 0.1467680633 0.0777759552 0.04016393051 0.03200227767 0.0296510011 0.02711047418 0.006860349793 0.006781619973 0.00615180051 0.005090332124 0.003124030307 0.002802326344 0.002747022547 0.002739703283 0.002651229035 0.002317296807 0.002215974964 0.002120566554
36,frag@91.05 frag@105.07 frag@121.06 frag@119.05 loss@236.13 frag@109.06 loss@219.11 frag@135.08 loss@222.11 loss@247.11 loss@218.14 loss@247.08 loss@228.13 loss@255.13 loss@246.14 frag@161.1 loss@217.11 loss@232.16 loss@219.16 loss@243.1,0.2079609036 0.0987483114 0.06731545925 0.02346077561 0.01902564988 0.01607063971 0.01599342003 0.01526583917 0.01512630284 0.01390956342 0.01278808713 0.01251195371 0.01187899895 0.01145477314 0.01139487047 0.01104696933 0.01049622521 0.01015243307 0.01015185285 0.009732245468
