topic_id,top_words,top_probabilities
24,frag@183.08 frag@195.08 frag@235.09 loss@116.09 loss@143.11 loss@222.04 loss@156.06 loss@296.07 frag@227.11 frag@233.09 loss@112.1 frag@200.03 loss@183.97 loss@316.07 loss@129.05 frag@234.08 loss@91.06 loss@333.13 frag@163.11 loss@157.15,0.1552113444 0.1416252404 0.08873802423 0.08497951925 0.08333403617 0.07095457613 0.06686130166 0.04419885948 0.03072350845 0.01703635044 0.01279470045 0.01253528707 0.008218250237 0.007548204158 0.007517120335 0.004492928274 0.003492926247 0.002799886744 0.002433752175 0.002300318796
25,frag@47.0 frag@222.02 loss@243.99 loss@238.07 frag@227.06 loss@140.09 frag@219.08 frag@207.08 loss@218.99 loss@56.04 frag@268.05 frag@226.07 frag@303.15 frag@250.13 frag@288.07 loss@344.09 frag@168.06 loss@123.05 frag@180.98 loss@40.03,0.05888572708 0.04148422554 0.02245127782 0.01549718156 0.0120154433 0.009369453415 0.00926200673 0.007646298502 0.006033794023 0.005718415603 0.005375750363 0.005359799135 0.00448693661 0.004169588443 0.004031872377 0.00395586621 0.00382974511 0.00376185216 0.003749304917 0.003704374423
26,loss@145.09 frag@239.08 loss@202.11 frag@188.07 frag@130.06 frag@157.08 frag@187.09 loss@243.12 frag@160.08 frag@171.09 frag@142.07 frag@158.06 loss@203.09 frag@132.08 frag@173.07 frag@130.07 frag@172.08 frag@146.06 loss@175.13 loss@188.1,0.08508785069 0.05473315343 0.03184137493 0.02558264881 0.02490789257 0.02231618017 0.0190744102 0.01662860624 0.01564443111 0.01563971676 0.01509164833 0.01476954669 0.01457725 0.01362411957 0.01354498975 0.0112205632 0.01114026457 0.01100673899 0.01027559489 0.008506233804
27,frag@109.08 loss@228.14 loss@207.11 frag@122.08 frag@155.04 frag@137.09 loss@187.04 loss@192.1 loss@184.04 frag@136.09 loss@223.05 frag@110.06 frag@80.05 frag@107.06 frag@190.13 frag@122.07 loss@152.1 frag@81.06 loss@168.09 frag@108.04,0.1122547165 0.1034464166 0.07161547989 0.05717089772 0.04296194389 0.03748039901 0.03001558036 0.02722720988 0.02637245692 0.02091734111 0.01911042258 0.01326438598 0.01307747234 0.01266546641 0.01111479662 0.01001550164 0.008823866956 0.008719520643 0.008658372797 0.007619312033
28,frag@68.05 loss@238.1 loss@235.07 loss@248.15 frag@67.02 loss@239.05 loss@237.02 loss@234.14 loss@201.11 loss@239.09 loss@282.07 frag@99.05 loss@235.1 loss@270.04 loss@304.14 loss@240.06 loss@287.13 loss@261.11 loss@213.03 loss@265.14,0.3949379623 0.06749200076 0.04266770929 0.02808884531 0.02582281269 0.02523242682 0.02259944379 0.02092827484 0.01898039691 0.01755450107 0.01385355182 0.01187946182 0.01157851983 0.01139918528 0.01127248537 0.009852311574 0.009521433152 0.008412433788 0.006096908823 0.005996485706
29,frag@86.06 loss@255.03 loss@308.08 loss@278.11 loss@173.02 frag@254.13 frag@185.03 frag@257.14 loss@193.13 loss@188.15 loss@316.11 loss@170.12 loss@275.07 loss@210.15 loss@266.13 loss@314.12 loss@171.1 frag@99.05 frag@245.07 loss@180.13,0.2871916294 0.06822078675 0.06115126237 0.04009239003 0.03063331731 0.02460551634 0.0223025959 0.01878643595 0.01443416812 0.01238611806 0.009318785742 0.007852632552 0.007028381806 0.006058838218 0.005989906844 0.005676026456 0.004206967074 0.003975342494 0.003900067881 0.003812894225
30,frag@134.04 loss@136.03 loss@175.04 frag@79.03 frag@134.05 frag@150.06 loss@165.06 loss@240.03 frag@233.07 loss@182.1 loss@231.0 loss@125.06 loss@173.04 loss@120.07 loss@204.03 loss@138.04 loss@96.02 frag@153.04 loss@224.99 frag@107.03,0.2101296186 0.1484968066 0.1360987127 0.09033718705 0.05305607617 0.04689282924 0.02207136527 0.01446991041 0.01097552385 0.01096649654 0.009747508913 0.00966640655 0.009044267237 0.007977390662 0.006600817665 0.005538275 0.005495463964 0.005255878437 0.005098075606 0.005088869948
31,frag@97.01 frag@126.04 frag@151.06 frag@85.01 frag@99.03 loss@221.09 loss@204.08 loss@240.07 frag@125.04 loss@221.06 loss@274.08 loss@209.09 loss@266.08 loss@247.03 loss@203.04 loss@201.01 loss@229.04 loss@124.0 loss@237.09 loss@183.05,0.1379960775 0.105884403 0.07195515931 0.07032559812 0.05170689151 0.05029808357 0.04412554577 0.03055432439 0.0290536657 0.02464929409 0.02174603939 0.02002273314 0.0170321092 0.01526238769 0.01421848778 0.0120816743 0.01164701208 0.009724743664 0.009654827416 0.009563171305
32,loss@213.08 frag@74.93 frag@248.1 frag@174.97 frag@347.15 loss@259.07 frag@257.13 frag@220.11 loss@216.06 frag@147.02 frag@182.13 frag@112.03 loss@181.06 frag@239.1 frag@257.11 frag@113.04 loss@233.13 loss@111.14 frag@208.03 frag@133.09,0.43524611 0.1674951464 0.1179055572 0.1017286181 0.0245272126 0.006219937466 0.004972134717 0.004645225592 0.003254831769 0.002941109007 0.002543294104 0.002372422256 0.002059173072 0.00179741811 0.001577715972 0.001572451089 0.001463283785 0.001361274393 0.001287079183 0.001253461698
33,frag@141.01 loss@199.08 loss@305.12 loss@298.09 frag@141.03 loss@179.1 loss@359.17 loss@216.09 loss@253.13 frag@184.06 loss@304.18 loss@287.16 loss@302.06 loss@173.08 loss@351.1 loss@208.04 loss@198.06 loss@269.1 loss@266.05 loss@211.06,0.4388301075 0.1747152209 0.06231421977 0.05461256951 0.03734864295 0.02110777609 0.01478375588 0.01279732585 0.01194450352 0.01104534697 0.005580195691 0.005029771011 0.004281839821 0.004232528154 0.003960681614 0.003096828703 0.002983441809 0.002853596117 0.002345324028 0.002276604529
34,frag@125.02 frag@124.02 frag@151.03 frag@175.03 frag@153.01 frag@147.03 loss@167.04 frag@148.02 loss@157.03 frag@174.04 frag@166.03 loss@150.03 frag@173.03 loss@156.05 loss@154.03 loss@141.02 loss@176.04 loss@139.02 loss@128.0 loss@152.0,0.09708542377 0.04285560921 0.04225013778 0.03489769623 0.02791038342 0.02391809039 0.02282626182 0.02237724885 0.0206237752 0.01982629672 0.01921916567 0.01703114994 0.01602420583 0.01530459896 0.01522581186 0.01405395009 0.01267338637 0.01137808803 0.01097178273 0.01025068015
35,loss@206.06 loss@253.03 frag@135.1 frag@185.03 frag@200.06 loss@173.02 loss@212.03 frag@161.05 frag@178.03 loss@311.08 frag@173.08 frag@165.06 frag@124.02 frag@179.06 loss@331.13 frag@227.13 frag@109.01 frag@160.06 frag@252.05 frag@125.02,0.2205946594 0.05492669344 0.04670927674 0.02998813614 0.02456446178 0.0229966864 0.01620029286 0.01567357592 0.01538001001 0.01503627095 0.01177934743 0.01138410065 0.01108244434 0.0101866927 0.009525386617 0.0094500985 0.008280056529 0.008109056391 0.006543246098 0.006457850337
