topic_id,top_words,top_probabilities
21,frag@181.08 frag@180.08 frag@178.04 frag@171.09 frag@186.1 frag@175.06 frag@201.07 frag@258.1 frag@170.08 frag@154.06 frag@204.07 frag@173.07 frag@172.08 frag@155.06 frag@171.06 frag@171.05 frag@143.06 frag@157.08 frag@134.99 frag@151.05,0.001253709546 0.001023010002 0.0009931614622 0.0009855912067 0.000978362048 0.0009192193975 0.0009027819033 0.0008923745481 0.0008832679014 0.0008822326199 0.0008566791657 0.0008275684668 0.0008214082336 0.0008089028415 0.0008024551789 0.0007911337307 0.0007884629886 0.0007860540645 0.0007738794084 0.0007726007607
22,frag@97.04 frag@68.05 frag@108.04 frag@94.06 frag@110.06 frag@80.05 frag@109.08 loss@235.11 frag@99.06 frag@120.04 frag@99.05 frag@110.07 frag@92.05 frag@122.1 frag@122.06 frag@137.07 frag@108.08 frag@109.04 frag@82.03 frag@139.03,0.01122835651 0.007000300568 0.006451880094 0.006254136097 0.005553472321 0.005336211529 0.004765543621 0.004608977586 0.004520611372 0.004359486047 0.003972956911 0.00377096259 0.003770567011 0.003668443998 0.003466386814 0.003330988577 0.003225852037 0.003190217772 0.003159224289 0.003105697921
23,frag@132.06 frag@130.03 frag@119.06 frag@134.06 frag@105.06 frag@106.06 loss@185.04 frag@199.12 frag@120.04 frag@131.06 frag@105.04 frag@133.06 frag@139.03 frag@106.07 frag@120.06 frag@132.07 frag@121.04 frag@147.05 frag@133.08 frag@121.03,0.00308835879 0.002850610996 0.002849922748 0.002619473031 0.002276609885 0.002259560628 0.002241489477 0.002220430179 0.002190180589 0.002183928387 0.002152493922 0.002126843436 0.00209540315 0.002029395429 0.001944385353 0.001916680601 0.001870045089 0.001852660091 0.001832996495 0.00177676254
24,frag@167.07 frag@180.08 frag@169.11 frag@211.01 frag@166.04 frag@356.08 frag@248.15 loss@111.07 frag@192.06 loss@159.08 frag@190.06 frag@359.12 frag@151.05 frag@319.17 loss@101.08 loss@143.09 frag@233.14 loss@125.08 loss@127.1 loss@139.1,0.001304328907 0.001141611254 0.001130950637 0.0008949906914 0.0008674404817 0.0008502295823 0.0008441794198 0.000814542349 0.0007983504911 0.0007901149802 0.0007897714386 0.000785098935 0.0007546390989 0.0007466149982 0.0007436133455 0.0007401388139 0.0007377471193 0.0007349699736 0.0007217248785 0.0007136072963
25,frag@180.08 frag@167.07 loss@143.09 frag@153.07 loss@127.1 loss@155.09 frag@181.06 frag@189.07 loss@125.08 loss@113.08 frag@169.11 loss@111.07 frag@211.01 loss@128.09 loss@159.08 frag@165.07 frag@152.06 loss@117.12 frag@344.21 frag@146.02,0.001165656256 0.001141513814 0.001131111174 0.001109883073 0.001081389841 0.001071581035 0.000989231281 0.0009600525373 0.0009353880305 0.0009157549939 0.0008892438491 0.0008886951837 0.0008853601757 0.0008792518056 0.0008611094672 0.0008444901323 0.0008339454653 0.0008252418484 0.0008238628507 0.0008137468249
26,frag@180.08 loss@159.08 frag@165.07 frag@258.1 frag@151.05 frag@189.07 frag@211.01 frag@216.08 frag@167.07 frag@192.06 frag@166.08 frag@241.1 frag@190.06 frag@152.06 frag@236.08 frag@169.11 frag@182.94 frag@303.1 frag@202.07 loss@125.1,0.001362500712 0.001307893195 0.001187506947 0.00109297561 0.0009719681111 0.0009037585114 0.0009027041961 0.0008995119133 0.0008755337913 0.0008591144579 0.0008239587187 0.0007966227713 0.000792596722 0.0007901720819 0.0007683186559 0.0007589090383 0.0007457430474 0.0007354796398 0.0007334366092 0.0007207678864
27,frag@180.08 frag@165.07 frag@192.06 loss@159.08 frag@169.11 frag@152.06 frag@178.04 frag@209.07 frag@189.07 frag@151.05 loss@124.06 frag@175.05 frag@194.99 frag@175.07 frag@125.03 frag@143.06 frag@186.1 frag@290.14 frag@156.07 frag@236.08,0.001231884118 0.001067379839 0.0009289648733 0.0009158134926 0.0008714185096 0.0008634623373 0.0008389801369 0.0008143497398 0.0007716394612 0.0007704974269 0.0007552878815 0.0007350427331 0.0007307202322 0.0007260871935 0.0007255332894 0.000721380522 0.0007205272559 0.0007156042266 0.0007020515623 0.0006796011003
28,frag@97.04 frag@108.04 frag@80.05 frag@94.06 frag@68.05 frag@110.06 frag@120.04 frag@92.05 frag@109.08 loss@235.11 frag@122.06 frag@99.06 frag@126.05 frag@126.04 frag@122.1 frag@108.08 frag@139.03 frag@110.07 loss@211.04 frag@137.07,0.009674560279 0.009600187652 0.007301091682 0.006998473778 0.006686848588 0.006657768972 0.005679212976 0.005249716807 0.00517441798 0.004930733237 0.004554665182 0.004401843064 0.004371427465 0.003941337578 0.003907681443 0.003879609052 0.003798423568 0.003694633953 0.003665777622 0.003610841464
29,frag@180.08 frag@258.1 frag@190.06 frag@165.07 frag@152.06 frag@154.06 frag@167.07 frag@221.11 frag@181.08 frag@287.1 frag@186.1 frag@151.05 frag@171.06 loss@135.07 frag@166.08 frag@144.04 loss@159.08 frag@172.05 loss@191.07 frag@216.08,0.001268674852 0.001104725874 0.0009484205511 0.0009089134401 0.0008980133571 0.0008703844505 0.0008696867153 0.0008605445619 0.0008584042662 0.0008508661413 0.0008176814299 0.0008130614879 0.0008109513437 0.0007898674812 0.0007728434866 0.0007609831518 0.0007595616044 0.0007340933662 0.000730969361 0.0007309449138
30,loss@143.09 loss@153.12 loss@155.09 loss@125.08 loss@97.09 frag@83.09 loss@141.08 frag@72.04 loss@129.12 loss@127.1 frag@180.08 frag@45.03 loss@111.07 loss@126.07 loss@170.11 loss@168.19 frag@98.98 frag@167.07 frag@69.07 frag@153.07,0.0032708582 0.002536041662 0.002355130157 0.00226177345 0.001906930935 0.001873322064 0.001825829269 0.0017610254 0.001670510857 0.001663833973 0.001644307165 0.001589638181 0.001582634286 0.001577896066 0.001540396712 0.001518314821 0.001514972886 0.00147019315 0.001443740795 0.001400560141
31,loss@143.09 frag@169.11 frag@72.04 frag@100.02 loss@125.08 loss@97.09 frag@57.07 frag@62.02 frag@98.98 loss@139.1 loss@155.09 loss@309.03 frag@166.04 frag@146.02 frag@233.14 loss@259.01 frag@83.09 loss@153.12 loss@117.08 frag@224.94,0.001708424184 0.001147211064 0.001135550323 0.00113217812 0.001065267599 0.001032733824 0.001005814178 0.0009781488916 0.0009642817313 0.0009429073543 0.000927263638 0.0009265450062 0.0009005951579 0.0008930406184 0.0008680170868 0.0008489013417 0.0008373241872 0.0008277232992 0.0008250178653 0.0008225306519
32,frag@180.08 loss@159.08 frag@169.11 frag@152.06 frag@151.05 frag@192.06 frag@194.99 frag@165.07 frag@189.07 frag@207.08 frag@241.1 frag@143.06 frag@175.05 frag@178.04 loss@139.1 frag@288.08 frag@209.07 loss@136.08 loss@111.14 frag@236.08,0.001513427822 0.001265534316 0.001084394753 0.001084171934 0.001044674544 0.001031734748 0.001010848559 0.0009709043079 0.0008794988971 0.0007603183039 0.0007426145603 0.0007381683099 0.0007366304635 0.0007357313298 0.0007333115791 0.0007315145922 0.0007292106748 0.0007133090985 0.0007102862583 0.0007102754898
33,frag@108.04 frag@120.04 frag@97.04 frag@80.05 frag@92.05 frag@126.04 frag@94.06 frag@122.1 frag@97.01 frag@139.03 frag@110.06 frag@108.06 frag@107.06 frag@96.04 frag@136.08 frag@137.07 frag@126.05 frag@108.08 frag@135.06 loss@235.11,0.006010059733 0.004773956258 0.004320303444 0.004299921449 0.003097502748 0.00301076402 0.002844005125 0.002776989015 0.002769391518 0.002761492971 0.002748756902 0.002613422927 0.002446263097 0.002352363896 0.002344494686 0.002333503915 0.002322748303 0.002212945139 0.002087815199 0.00206418382
34,frag@186.1 frag@192.06 frag@181.08 frag@187.1 frag@151.05 frag@258.1 frag@143.06 frag@178.04 frag@163.03 frag@241.1 frag@158.07 frag@174.1 frag@238.13 frag@189.08 loss@159.08 frag@169.08 frag@155.06 loss@165.09 frag@123.02 frag@188.12,0.00127244601 0.001033879118 0.001000037417 0.0009584564832 0.0009329547174 0.0009289280279 0.0008904415881 0.000887244707 0.0008775258902 0.0008705030777 0.0008464409621 0.0008441411774 0.0008289146936 0.000808303128 0.0008046858711 0.0008001205861 0.0007711697835 0.0007593450136 0.000755612622 0.0007553989417
35,frag@258.1 loss@191.07 frag@180.08 frag@151.05 frag@167.07 loss@169.06 frag@83.03 loss@159.08 frag@143.06 frag@151.03 loss@179.04 frag@130.04 frag@190.06 frag@287.1 frag@171.06 frag@192.06 frag@268.09 frag@123.02 frag@125.02 frag@356.08,0.001608854509 0.001298889867 0.001150687225 0.001148167648 0.001113881124 0.001059705275 0.001057007001 0.001008017221 0.001006629551 0.0009767410811 0.0009611354908 0.0009588641697 0.0009554372518 0.0009497522842 0.0009466240299 0.0009243818931 0.0009185089148 0.0009172289865 0.0009139617323 0.0009137126617
